patient_text,symptoms,training_text,disease,risk_hint,category
"Patient reports nausea, dizziness, sensitivity to light and fatigue since 5 days.",nausea|dizziness|sensitivity to light|fatigue,"Patient reports nausea, dizziness, sensitivity to light and fatigue since 5 days. Symptoms: nausea, dizziness, sensitivity to light, fatigue",Migraine,LOW,Neurology
"My main problems are sore throat, fever, swollen glands and headache and it started 2 days ago.",sore throat|fever|swollen glands|headache,"My main problems are sore throat, fever, swollen glands and headache and it started 2 days ago. Symptoms: sore throat, fever, swollen glands, headache",Mononucleosis-like Illness,MEDIUM,Infectious
"Since 4 days, I have had nausea, dizziness, headache and bloating.",nausea|dizziness|headache|bloating,"Since 4 days, I have had nausea, dizziness, headache and bloating. Symptoms: nausea, dizziness, headache, bloating",Migraine,LOW,Neurology
"For 2 days, my back has been aching after physical strain.",stiffness|back pain|headache,"For 2 days, my back has been aching after physical strain. Symptoms: stiffness, back pain, headache",Musculoskeletal Back Strain,LOW,Musculoskeletal
Patient reports wheezing and fatigue since 2 days.,wheezing|fatigue,"Patient reports wheezing and fatigue since 2 days. Symptoms: wheezing, fatigue",Bronchitis,MEDIUM,Respiratory
"These symptoms started 1 week ago: headache, chills, cough and fever.",headache|chills|cough|fever,"These symptoms started 1 week ago: headache, chills, cough and fever. Symptoms: headache, chills, cough, fever",Influenza,MEDIUM,Respiratory
"For the last 2 days, I have been dealing with heartburn, appetite loss and headache.",heartburn|appetite loss|headache,"For the last 2 days, I have been dealing with heartburn, appetite loss and headache. Symptoms: heartburn, appetite loss, headache",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have frequent urination, back pain and fever for 4 days.",frequent urination|back pain|fever,"I have frequent urination, back pain and fever for 4 days. Symptoms: frequent urination, back pain, fever",Urinary Tract Infection,MEDIUM,Genitourinary
I am feeling pain in back of the spleen from past 1 day.,left upper abdominal pain,I am feeling pain in back of the spleen from past 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"My main problems are fatigue, loss of taste, fever and excessive thirst and it started 2 days ago.",fatigue|loss of taste|fever|excessive thirst,"My main problems are fatigue, loss of taste, fever and excessive thirst and it started 2 days ago. Symptoms: fatigue, loss of taste, fever, excessive thirst",COVID-19,HIGH,Respiratory
