disease,category,risk_hint,symptoms,description
Common Cold,Respiratory,LOW,"runny nose|sneezing|sore throat|cough","A mild upper respiratory illness with congestion and throat irritation."
Influenza,Respiratory,MEDIUM,"fever|cough|fatigue|body ache|headache|chills","An acute viral illness with fever, body ache, and fatigue."
COVID-19,Respiratory,HIGH,"fever|cough|fatigue|loss of taste|loss of smell|shortness of breath","A viral respiratory syndrome with variable severity and possible smell or taste changes."
Gastroenteritis,GI,MEDIUM,"nausea|vomiting|diarrhea|abdominal pain|dehydration","An intestinal illness with vomiting, diarrhea, and abdominal cramps."
Migraine,Neurology,LOW,"headache|nausea|sensitivity to light|dizziness","A headache disorder that can include nausea and sensitivity to light."
Allergic Rhinitis,Allergy,LOW,"sneezing|runny nose|congestion|itchy eyes","An allergy-driven condition with sneezing, congestion, and itchy eyes."
Bronchitis,Respiratory,MEDIUM,"cough|fatigue|wheezing|chest pain|fever","Inflammation of the airways causing cough and sometimes chest discomfort."
Urinary Tract Infection,Genitourinary,MEDIUM,"burning urination|frequent urination|fever|back pain","A urinary infection pattern with painful urination and urinary frequency."
Sinusitis,Respiratory,LOW,"congestion|runny nose|headache|facial pain|sore throat","An upper airway inflammation pattern with congestion, facial pressure, and headache."
Asthma Exacerbation,Respiratory,HIGH,"shortness of breath|wheezing|cough|chest pain|fatigue","An airway tightening pattern with wheeze, cough, and breathlessness."
Kidney Stone / Renal Colic,Genitourinary,HIGH,"back pain|blood in urine|nausea|vomiting|burning urination","A urinary stone pattern with flank pain, urinary irritation, or blood in urine."
Gastritis / Acid Peptic Disorder,GI,MEDIUM,"abdominal pain|nausea|heartburn|bloating|appetite loss","An upper digestive irritation pattern with stomach discomfort, nausea, and reflux-like symptoms."
Appendicitis Concern,GI,HIGH,"right lower abdominal pain|abdominal pain|nausea|vomiting|fever|appetite loss","A right lower abdominal pain pattern that can require urgent evaluation."
Ear Infection,ENT,MEDIUM,"ear pain|fever|sore throat|headache","An ear infection or inflammation pattern with ear pain and fever."
Mononucleosis-like Illness,Infectious,MEDIUM,"sore throat|fever|fatigue|headache|swollen glands","A prolonged viral throat-and-fatigue illness with swollen glands."
Musculoskeletal Back Strain,Musculoskeletal,LOW,"back pain|body ache|fatigue|stiffness","A posture or muscle-related back pain pattern without strong infection features."
Hyperglycemia / Diabetes Concern,Metabolic,MEDIUM,"high blood sugar|frequent urination|excessive thirst|fatigue|blurred vision","A glucose regulation concern with urinary frequency, thirst, fatigue, and raised blood sugar."
Dengue-like Viral Fever,Fever,MEDIUM,"fever|headache|body ache|rash|nausea","A viral fever pattern that may include rash, headache, and body pain."
Pneumonia,Respiratory,HIGH,"fever|cough|shortness of breath|chest pain|fatigue","A lung infection pattern with fever, cough, and breathing difficulty."
